Наименование;Количество;Корпус;Назначение;LCSC;Чем можно заменить при поиске
F133-A;1;eLQFP-128 14x14;процессор (есть на руках);C7502676;нет замены — только D1s/F133 той же ревизии
SY8089AAAC;3;SOT-23-5;buck 3.3 / 1.8 / 0.9 В;C78988;SY8089A с любым суффиксом кроме A1 (у A1 1.5 МГц и другой дроссель); любой синхронный buck 2 А SOT-23-5 с VREF 0.6 В
TP4056;1;ESOP-8;зарядка Li-Ion 1 А (есть от v1);C16581;TC4056A, TP4057 (0.5 А)
PAM8301AAF;1;SOT-23-6;УНЧ класса D, моно, 1.5 Вт;C3001605;PAM8302A (SOP-8, другая обвязка), PAM8304
W25Q32JVSSIQ;1;SOIC-8 208mil;флешка прошивки 4 МБ;C179173;любая W25Q08/16/32/64/128 (до 16 МБ включительно), GD25Q32, XM25QH32
USBLC6-2SC6;1;SOT-23-6;ESD-защита USB D+/D-;C2687116;ESD9L3.3ST5G (SOD-923, 0.5 пФ, по диоду на линию — нужно 2 шт)
MAX98357A;1;TQFN-16 3x3;ЗАПАСНОЙ ВАРИАНТ: I2S-усилитель вместо PAM8301 + аналог кодека, если тракт зашумит;C910544;нет прямого аналога
